Date,Consommation (MW),ds,y
2017-04-18,52991.166666666664,2017-04-18,52991.166666666664
2017-04-19,55843.041666666664,2017-04-19,55843.041666666664
2017-04-20,56803.208333333336,2017-04-20,56803.208333333336
2017-04-21,55059.75,2017-04-21,55059.75
2017-04-22,48017.604166666664,2017-04-22,48017.604166666664
2017-04-23,44679.0625,2017-04-23,44679.0625
2017-04-24,51189.479166666664,2017-04-24,51189.479166666664
2017-04-25,53468.3125,2017-04-25,53468.3125
2017-04-26,57233.020833333336,2017-04-26,57233.020833333336
2017-04-27,59001.354166666664,2017-04-27,59001.354166666664
2017-04-28,58074.125,2017-04-28,58074.125
2017-04-29,50114.0625,2017-04-29,50114.0625
2017-04-30,46013.708333333336,2017-04-30,46013.708333333336
2017-05-01,46245.854166666664,2017-05-01,46245.854166666664
2017-05-02,53759.833333333336,2017-05-02,53759.833333333336
2017-05-03,54747.041666666664,2017-05-03,54747.041666666664
2017-05-04,54178.0,2017-05-04,54178.0
2017-05-05,52326.25,2017-05-05,52326.25
2017-05-06,47023.8125,2017-05-06,47023.8125
2017-05-07,44113.25,2017-05-07,44113.25
2017-05-08,45512.5625,2017-05-08,45512.5625
2017-05-09,51379.541666666664,2017-05-09,51379.541666666664
2017-05-10,50965.166666666664,2017-05-10,50965.166666666664
2017-05-11,50509.0,2017-05-11,50509.0
2017-05-12,49469.791666666664,2017-05-12,49469.791666666664
2017-05-13,43527.645833333336,2017-05-13,43527.645833333336
2017-05-14,40561.395833333336,2017-05-14,40561.395833333336
2017-05-15,47263.333333333336,2017-05-15,47263.333333333336
2017-05-16,47610.208333333336,2017-05-16,47610.208333333336
2017-05-17,47572.270833333336,2017-05-17,47572.270833333336
2017-05-18,47870.833333333336,2017-05-18,47870.833333333336
2017-05-19,47757.854166666664,2017-05-19,47757.854166666664
2017-05-20,42850.791666666664,2017-05-20,42850.791666666664
2017-05-21,39832.083333333336,2017-05-21,39832.083333333336
2017-05-22,46405.708333333336,2017-05-22,46405.708333333336
2017-05-23,47182.166666666664,2017-05-23,47182.166666666664
2017-05-24,47170.208333333336,2017-05-24,47170.208333333336
2017-05-25,40967.958333333336,2017-05-25,40967.958333333336
2017-05-26,43064.916666666664,2017-05-26,43064.916666666664
2017-05-27,40842.9375,2017-05-27,40842.9375
2017-05-28,38768.479166666664,2017-05-28,38768.479166666664
2017-05-29,46556.645833333336,2017-05-29,46556.645833333336
2017-05-30,47576.041666666664,2017-05-30,47576.041666666664
2017-05-31,47540.375,2017-05-31,47540.375
