ds,Consommation (MW)
2021-10-18,52225.604166666664
2021-10-19,50324.0
2021-10-20,49926.0625
2021-10-21,50623.375
2021-10-22,52438.333333333336
2021-10-23,48250.291666666664
2021-10-24,47291.416666666664
2021-10-25,53073.833333333336
2021-10-26,53397.0625
2021-10-27,53587.895833333336
2021-10-28,53578.229166666664
2021-10-29,52369.6875
2021-10-30,47370.958333333336
2021-10-31,44514.625
2021-11-01,46753.083333333336
2021-11-02,54789.395833333336
2021-11-03,57528.6875
2021-11-04,60109.333333333336
2021-11-05,60260.145833333336
2021-11-06,56824.645833333336
2021-11-07,53738.25
2021-11-08,59847.229166666664
2021-11-09,62167.6875
2021-11-10,63587.041666666664
2021-11-11,57043.75
2021-11-12,59311.25
2021-11-13,53766.895833333336
2021-11-14,51292.916666666664
2021-11-15,60466.020833333336
2021-11-16,62513.5625
2021-11-17,62405.4375
2021-11-18,62738.4375
2021-11-19,62398.25
2021-11-20,58163.875
2021-11-21,57176.958333333336
2021-11-22,65535.4375
2021-11-23,67911.83333333333
2021-11-24,68533.1875
2021-11-25,69202.72916666667
2021-11-26,69477.22916666667
2021-11-27,65230.9375
2021-11-28,65162.520833333336
2021-11-29,73443.3125
2021-11-30,74557.1875
2021-12-01,70035.70833333333
2021-12-02,71638.14583333333
2021-12-03,73528.66666666667
2021-12-04,63009.166666666664
2021-12-05,63515.395833333336
2021-12-06,70508.45833333333
2021-12-07,71428.79166666667
2021-12-08,71555.14583333333
2021-12-09,73310.9375
2021-12-10,72124.14583333333
2021-12-11,66446.52083333333
2021-12-12,61999.270833333336
2021-12-13,67742.79166666667
2021-12-14,70153.64583333333
2021-12-15,70191.02083333333
2021-12-16,69848.77083333333
2021-12-17,69615.52083333333
2021-12-18,65147.270833333336
2021-12-19,64613.729166666664
2021-12-20,72397.4375
2021-12-21,75135.5625
2021-12-22,77176.85416666667
2021-12-23,71287.20833333333
2021-12-24,61405.395833333336
2021-12-25,53700.354166666664
2021-12-26,53840.479166666664
2021-12-27,57917.583333333336
2021-12-28,57600.958333333336
2021-12-29,55462.354166666664
2021-12-30,52779.1875
2021-12-31,53340.208333333336
2022-01-01,50428.875
2022-01-02,52241.958333333336
2022-01-03,59440.666666666664
2022-01-04,62172.333333333336
2022-01-05,68310.625
2022-01-06,72582.83333333333
2022-01-07,72323.16666666667
2022-01-08,65012.6875
2022-01-09,62386.416666666664
2022-01-10,69661.5
2022-01-11,72626.16666666667
2022-01-12,75137.58333333333
2022-01-13,76418.20833333333
2022-01-14,77333.27083333333
2022-01-15,72926.47916666667
2022-01-16,70769.58333333333
2022-01-17,74724.75
2022-01-18,75092.5625
2022-01-19,74998.0625
2022-01-20,73762.52083333333
2022-01-21,75227.97916666667
2022-01-22,70442.91666666667
2022-01-23,67447.8125
2022-01-24,74805.52083333333
2022-01-25,77812.29166666667
2022-01-26,78430.0
2022-01-27,77486.35416666667
2022-01-28,74348.79166666667
2022-01-29,67034.04166666667
2022-01-30,62109.458333333336
2022-01-31,69758.875
2022-02-01,71707.8125
2022-02-02,67140.22916666667
2022-02-03,67477.27083333333
2022-02-04,66367.20833333333
2022-02-05,61984.166666666664
2022-02-06,61376.6875
2022-02-07,64713.0
2022-02-08,66443.3125
2022-02-09,66095.10416666667
2022-02-10,65712.95833333333
2022-02-11,66581.25
2022-02-12,64278.979166666664
2022-02-13,60693.166666666664
2022-02-14,64476.854166666664
2022-02-15,66843.0
2022-02-16,65060.375
2022-02-17,60733.25
2022-02-18,59896.6875
2022-02-19,58372.666666666664
2022-02-20,56097.291666666664
2022-02-21,63264.666666666664
2022-02-22,63660.354166666664
2022-02-23,62134.020833333336
2022-02-24,63039.979166666664
2022-02-25,64560.979166666664
2022-02-26,60621.041666666664
2022-02-27,59134.0625
2022-02-28,63930.6875
