Date,Code INSEE région,mois,jour,journée,weekend,Consommation_MW,Production_MW,Production_verte_MW,Differentiel_MW,Thermique_MW,Nucléaire_MW,Eolien_MW,Solaire_MW,Hydraulique_MW,Pompage_MW,Bioénergies_MW,Ech_physiques_MW,Stockage_batterie_MW,Déstockage_batterie_MW,Date
2021-07-30,49.916666666666664,7.0,30.0,4.0,0.0,44044.58333333333,4709.506944444444,1270.9913194444443,1039.125,39.607638888888886,3398.9079861111113,480.0,168.57291666666666,513.2638888888889,-53.10069444444444,109.15451388888889,37.93055555555556,-985.6822916666666,1.293923611111111,2021-07-30
2021-07-31,49.916666666666664,7.0,31.0,5.0,1.0,39721.645833333336,4270.680555555556,1029.15625,960.5434027777778,44.342013888888886,3197.1822916666665,274.63368055555554,135.80555555555554,511.2326388888889,-79.52430555555556,107.484375,35.34722222222222,-880.640625,1.5577256944444444,2021-07-31
2021-08-01,49.916666666666664,8.0,1.0,6.0,1.0,36716.833333333336,4267.194444444444,991.4513888888889,1207.4583333333333,49.10243055555556,3226.640625,174.66493055555554,185.23958333333334,529.984375,-73.98263888888889,101.5625,35.4375,-1132.6475694444443,1.768576388888889,2021-08-01
2021-08-02,49.916666666666664,8.0,2.0,0.0,0.0,40912.145833333336,4332.96875,911.4236111111111,923.6232638888889,75.88888888888889,3345.65625,80.14583333333333,201.01215277777777,531.4340277777778,-45.322916666666664,98.83159722222223,36.515625,-877.5920138888889,2.186892361111111,2021-08-02
2021-08-03,49.916666666666664,8.0,3.0,1.0,0.0,41803.354166666664,4320.467013888889,879.4600694444445,836.8541666666666,96.17534722222223,3344.831597222222,83.54513888888889,129.02604166666666,568.7586805555555,-20.39409722222222,98.13020833333333,36.166666666666664,-815.7135416666666,2.6253645833333334,2021-08-03
2021-08-04,49.916666666666664,8.0,4.0,2.0,0.0,41639.479166666664,4287.112847222223,887.7847222222222,817.15625,106.09027777777777,3293.237847222222,79.30034722222223,114.06770833333333,594.1753472222222,-35.060763888888886,100.24131944444444,35.30902777777778,-780.9895833333334,2.89390625,2021-08-04
2021-08-05,49.916666666666664,8.0,5.0,3.0,0.0,41068.1875,4452.545138888889,1148.6284722222222,1030.1961805555557,69.73090277777777,3234.1857638888887,281.8645833333333,173.65798611111111,595.3211805555555,-23.90625,97.78472222222223,34.958333333333336,-1005.3940972222222,2.01859375,2021-08-05
2021-08-06,49.916666666666664,8.0,6.0,4.0,0.0,40451.33333333333,4287.590277777777,1267.9149305555557,916.6458333333334,49.923611111111114,2969.7517361111113,487.88368055555554,165.59722222222223,522.6857638888889,-89.31770833333333,91.74826388888889,32.48784722222222,-826.5225694444445,1.6098784722222221,2021-08-06
2021-08-07,49.916666666666664,8.0,7.0,5.0,1.0,37244.375,4119.380208333333,1210.939236111111,1015.6822916666666,48.513888888888886,2859.9270833333335,461.3802083333333,138.33506944444446,518.7291666666666,-64.92013888888889,92.49479166666667,31.302083333333332,-949.9236111111111,1.7142708333333332,2021-08-07
2021-08-08,49.916666666666664,8.0,8.0,6.0,1.0,35502.375,3721.5885416666665,1161.0434027777778,763.0572916666666,56.60069444444444,2503.9444444444443,399.65972222222223,181.78298611111111,489.22743055555554,-91.78819444444444,90.37326388888889,28.071180555555557,-670.453125,2.009097222222222,2021-08-08
2021-08-09,49.916666666666664,8.0,9.0,0.0,0.0,39637.75,4244.876736111111,1094.5694444444443,941.7309027777778,70.00520833333333,3080.3020833333335,225.72222222222223,202.93923611111111,577.4184027777778,-47.63368055555556,88.48958333333333,33.14756944444444,-893.0243055555555,2.1434374999999997,2021-08-09
2021-08-10,49.916666666666664,8.0,10.0,1.0,0.0,40946.4375,4219.564236111111,962.5763888888889,807.3611111111111,102.16145833333333,3154.8263888888887,69.73784722222223,218.59375,585.359375,-34.552083333333336,88.88541666666667,33.630208333333336,-770.2673611111111,2.902534722222222,2021-08-10
2021-08-11,49.916666666666664,8.0,11.0,2.0,0.0,41808.29166666667,4187.911458333333,932.7899305555555,703.8871527777778,143.96006944444446,3111.1614583333335,31.541666666666668,231.63020833333334,582.0277777777778,-25.11111111111111,87.59027777777777,32.885416666666664,-677.4600694444445,3.932864583333333,2021-08-11
2021-08-12,49.916666666666664,8.0,12.0,3.0,0.0,42395.083333333336,4210.942708333333,927.8611111111111,678.0190972222222,152.26736111111111,3130.8142361111113,41.99652777777778,194.13368055555554,604.3958333333334,-22.08159722222222,87.33506944444444,34.060763888888886,-654.3489583333334,4.035277777777778,2021-08-12
2021-08-13,49.916666666666664,8.0,13.0,4.0,0.0,42587.54166666667,4047.9618055555557,947.2743055555555,499.0,91.66493055555556,3009.0225694444443,74.1875,207.09375,578.2204861111111,-33.44444444444444,87.77256944444444,33.25868055555556,-464.125,2.6156770833333334,2021-08-13
2021-08-14,49.916666666666664,8.0,14.0,5.0,1.0,40146.29166666667,3961.9079861111113,904.0364583333334,616.3836805555555,57.713541666666664,3000.1579861111113,55.77430555555556,229.03645833333334,528.9097222222222,-42.90277777777778,90.31597222222223,32.69444444444444,-571.984375,1.9190451388888887,2021-08-14
2021-08-15,49.916666666666664,8.0,15.0,6.0,1.0,37757.91666666667,3999.4774305555557,903.0243055555555,852.984375,51.05381944444444,3045.3993055555557,209.89583333333334,175.91319444444446,428.45659722222223,-69.61631944444444,88.75868055555556,33.75694444444444,-781.9079861111111,1.7850000000000001,2021-08-15
2021-08-16,49.916666666666664,8.0,16.0,0.0,0.0,40818.770833333336,4310.133680555556,1113.1822916666667,908.5694444444445,49.572916666666664,3147.378472222222,394.78125,164.42534722222223,464.74305555555554,-48.88715277777778,89.23263888888889,35.107638888888886,-857.5850694444445,1.5787847222222222,2021-08-16
