,Date,Consommation_MW,Production_MW,Production_verte_MW,Differentiel_MW,Thermique_MW,Nucléaire_MW,Eolien_MW,Solaire_MW,Hydraulique_MW,Pompage_MW,Bioénergies_MW,Ech_physiques_MW,Stockage_batterie_MW,Déstockage_batterie_MW,mois,jour,date,temperature
221,2021-10-08,49127.041666666664,56171.729166666664,12249.583333333334,7044.6875,3314.5833333333335,40607.5625,3714.1666666666665,2254.5625,5266.8125,-503.9375,1014.0416666666666,432.2083333333333,-6538.0625,82.69875,10,8,2021-10-08,13.056770833333339
222,2021-10-09,44081.5,52051.625,9137.8125,7970.125,1933.3125,40980.5,2601.3958333333335,1901.5208333333333,3564.2916666666665,-1379.5625,1070.6041666666667,437.25,-6589.104166666667,64.913125,10,9,2021-10-09,12.988124999999998
223,2021-10-10,42711.104166666664,51361.0,8017.541666666667,8649.895833333334,1778.3333333333333,41565.125,1888.25,2062.6666666666665,3012.0208333333335,-1413.7083333333333,1054.6041666666667,442.3958333333333,-7234.604166666667,64.38291666666667,10,10,2021-10-10,12.550000000000004
224,2021-10-11,49541.875,56880.333333333336,9561.333333333334,7338.458333333333,4300.208333333333,43018.791666666664,2678.8125,2093.5208333333335,3773.9166666666665,-698.8333333333334,1015.0833333333334,453.7708333333333,-6638.520833333333,107.49791666666665,10,11,2021-10-11,11.870624999999997
225,2021-10-12,51577.583333333336,56866.895833333336,9375.270833333334,5289.3125,3675.25,43816.375,2787.875,1996.0833333333333,3577.3125,-628.7708333333334,1014.0,461.375,-4659.395833333333,92.20229166666667,10,12,2021-10-12,11.2759375
226,2021-10-13,51877.9375,57429.770833333336,8857.770833333334,5551.833333333333,4705.0625,43866.9375,2096.1041666666665,2020.9583333333333,3698.2916666666665,-662.8333333333334,1042.4166666666667,462.2083333333333,-4888.291666666667,112.214375,10,13,2021-10-13,11.214166666666664
227,2021-10-14,53024.020833333336,57373.354166666664,8198.666666666666,4349.333333333333,5007.604166666667,44167.083333333336,1362.6875,2293.625,3474.0208333333335,-626.9166666666666,1068.3333333333333,463.6458333333333,-3721.5,116.84625,10,14,2021-10-14,10.538958333333333
228,2021-10-15,52381.895833333336,55660.791666666664,7927.833333333333,3278.8958333333335,4623.583333333333,43109.375,1077.1666666666667,1914.4166666666667,3856.8541666666665,-579.7291666666666,1079.3958333333333,453.6875,-2697.3541666666665,107.89875,10,15,2021-10-15,11.1934375
229,2021-10-16,47414.125,53583.291666666664,7696.291666666667,6169.166666666667,3000.4166666666665,42886.583333333336,1043.3958333333333,2038.9166666666667,3504.2083333333335,-1539.25,1109.7708333333333,450.2708333333333,-4627.708333333333,87.486875,10,16,2021-10-16,11.649375
230,2021-10-17,45798.833333333336,52498.166666666664,7487.520833333333,6699.333333333333,2429.9375,42580.708333333336,1580.4583333333333,1902.7291666666667,2892.7083333333335,-1566.0416666666667,1111.625,447.7291666666667,-5131.333333333333,78.78520833333333,10,17,2021-10-17,11.785416666666665
231,2021-10-18,52225.604166666664,58126.104166666664,10470.270833333334,5900.5,4580.458333333333,43075.375,2987.0625,1625.2708333333333,4789.5625,-672.875,1068.375,453.2083333333333,-5226.416666666667,106.61062500000001,10,18,2021-10-18,12.99072916666667
232,2021-10-19,50324.0,58018.854166666664,13384.354166666666,7694.854166666667,3271.6875,41362.8125,6729.25,1768.3125,3785.875,-595.375,1100.9166666666667,436.5625,-7097.270833333333,79.49020833333334,10,19,2021-10-19,16.556979166666668
