Date,Consommation (MW)
2021-11-22,11.090346305853442
2021-11-23,11.125965574258434
2021-11-24,11.135073395974485
2021-11-25,11.144795579652733
2021-11-26,11.148754339978176
2021-11-27,11.085689136908233
2021-11-28,11.084639748789847
2021-11-29,11.204269129124674
2021-11-30,11.219321727349724
2021-12-01,11.156760510012624
2021-12-02,11.179382974116278
2021-12-03,11.205430631837592
2021-12-04,11.05103549743469
2021-12-05,11.059037609561788
2021-12-06,11.16348795796311
2021-12-07,11.176456311677596
2021-12-08,11.178223701802201
2021-12-09,11.202465092295734
2021-12-10,11.186144160874878
2021-12-11,11.104152705108278
2021-12-12,11.034877903205382
2021-12-13,11.123473337017524
2021-12-14,11.158443056144948
2021-12-15,11.158975673475856
2021-12-16,11.15408776729811
2021-12-17,11.150742821940527
2021-12-18,11.084405691166477
2021-12-19,11.076182192990078
2021-12-20,11.18992618410103
2021-12-21,11.22704926095606
2021-12-22,11.253854874564961
2021-12-23,11.174472184042548
2021-12-24,11.025252990295726
2021-12-25,10.89117487575764
2021-12-26,10.893780864105652
2021-12-27,10.966776301971807
2021-12-28,10.961294484277058
2021-12-29,10.923459766279455
2021-12-30,10.873872215850154
2021-12-31,10.884445703490158
2022-01-01,10.82831920667203
2022-01-02,10.86364125048607
2022-01-03,10.99273389512058
2022-01-04,11.037665378058746
2022-01-05,11.13182059714971
2022-01-06,11.192483717389159
2022-01-07,11.188899780980597
2022-01-08,11.082337722137927
2022-01-09,11.041102849037504
2022-01-10,11.151403076849226
2022-01-11,11.193080558282212
2022-01-12,11.227076156424603
2022-01-13,11.243976275729105
2022-01-14,11.255879553790356
2022-01-15,11.1972070779264
2022-01-16,11.167184573435335
2022-01-17,11.221566641546007
2022-01-18,11.226476798227468
2022-01-19,11.225217558851428
2022-01-20,11.20860603380339
2022-01-21,11.228278504126038
2022-01-22,11.162557968150802
2022-01-23,11.119109429679302
2022-01-24,11.22264696917116
2022-01-25,11.262054688261408
2022-01-26,11.269961786206713
2022-01-27,11.25785712456955
2022-01-28,11.216522699794792
2022-01-29,11.112955853918953
2022-01-30,11.036653564429075
2022-01-31,11.152799931732641
2022-02-01,11.180354981600296
2022-02-02,11.114538683794013
2022-02-03,11.119546091759823
2022-02-04,11.102958363078645
2022-02-05,11.03463425506905
2022-02-06,11.024785359627193
2022-02-07,11.077717387662826
2022-02-08,11.104104419498258
2022-02-09,11.098849956026582
2022-02-10,11.093051419930594
2022-02-11,11.106178285359508
2022-02-12,11.070987938684066
2022-02-13,11.013586395202529
2022-02-14,11.07406158825255
